"Id","value","variable"
609980,"09.8931.10","BREMBO"
609981,"09.A235.20","BREMBO"
609982,"08.8094.50","BREMBO"
609990,"08.5334.10","BREMBO"
301530,"24.0222-8013.1","ATE"
302310,"24.0220-3007.1","ATE"
302320,"24.0218-0011.1","ATE"
302330,"24.0218-5001.1","ATE"
302340,"24.0218-5002.1","ATE"
302510,"24.0218-0024.2","ATE"
303610,"24.0220-0001.2","ATE"
303620,"24.0220-0011.2","ATE"
303630,"24.0220-0033.2","ATE"
303640,"24.0220-0012.1","ATE"
303650,"24.0223-0013.2","ATE"
303720,"24.0222-8017.1","ATE"
303730,"24.0225-4002.1","ATE"
303910,"24.0218-0032.1","ATE"
303920,"24.0218-0032.1","ATE"
304201,"24.0220.0018.1","ATE"
304320,"24.0223-0016.1","ATE"
304710,"24.0218-0007.1","ATE"
304720,"24.0220.0018.1","ATE"
304780,"24.0220-0037.1","ATE"
304790,"24.0223-0012.1","ATE"
305010,"24.0218-0035.1","ATE"
309910,"24.0220.0018.1","ATE"
309920,"24.0225-2003.1","ATE"
600101,"24.0126-0125.1","ATE"
600102,"24.0122-0233.1","ATE"
600103,"24.0128-0192.1","ATE"
600104,"24.0128-0191.1","ATE"
600201,"24.0109-0133.1","ATE"
600202,"24.0112-0166.1","ATE"
600203,"24.0130-0113.1","ATE"
600204,"24.0122-0219.1","ATE"
600205,"24.0110-0356.1","ATE"
600207,"24.0125-0184.1","ATE"
600210,"24.0125-0149.1","ATE"
600211,"24.0130-0176.1","ATE"
600212,"24.0110-0259.1","ATE"
600213,"24.0110-0260.1","ATE"
600214,"24.0122-0223.1","ATE"
600215,"24.0112-0178.1","ATE"
600216,"24.0129-0102.1","ATE"
600217,"24.0130-0193.1.","ATE"
600218,"24.0130-0115.1","ATE"
600220,"24.0134-0123.1","ATE"
600221,"24.0134-0124.1","ATE"
600222,"24.0134-0100.1","ATE"
600223,"24.0122-0212.1","ATE"
600301,"24.0120-0195.1","ATE"
600302,"24.0124-0197.1","ATE"
600303,"24.0122-0238.1","ATE"
600304,"24.0124-0181.1","ATE"
600305,"24.0120-0183.1","ATE"
600306,"24.0110-0314.1","ATE"
600307,"24.0110-0315.1","ATE"
600310,"24.0330-0107.1","ATE"
600320,"24.0120-0204.1","ATE"
600321,"24.0124-0203.1","ATE"
600322,"24.0130-0173.1","ATE"
600323,"24.0120-0213.1","ATE"
600324,"24.0124-0200.1","ATE"
600325,"24.0122-0236.1","ATE"
600326,"24.0130-0186.2","ATE"
600327,"24.0130-0117.1","ATE"
600328,"24.0124-0177.1","ATE"
600329,"24.0124-0213.1","ATE"
600330,"24.0120-0178.1","ATE"
600331,"24.0130-0109.1","ATE"
600332,"24.0125-0160.1","ATE"
600333,"24.0122-0224.1","ATE"
600334,"24.0112-0152.1","ATE"
600335,"24.0120-0206.1","ATE"
600336,"24.0130-0200.1","ATE"
600337,"24.0124-0216.1","ATE"
600338,"24.0130-0199.1","ATE"
600339,"24.0136-0109.1","ATE"
600340,"24.0122-0209.1","ATE"
600401,"24.0126-0165.1","ATE"
600402,"24.0112-0188.1","ATE"
600403,"24.0112-0189.1","ATE"
600404,"24.0120-0209.1","ATE"
600405,"24.0126-0166.1","ATE"
600406,"24.0110-0340.1","ATE"
600501,"24.0128-0147.1","ATE"
600502,"24.0113-0196.1","ATE"
600503,"24.0123-0107.1","ATE"
600504,"24.0110-0363.1","ATE"
600602," 24.0109-0149.1","ATE"
600603,"24.0126-0140.1","ATE"
600605,"24.0132-0131.1","ATE"
600610,"24.0112-0156.1","ATE"
600611,"24.0128-0214.1","ATE"
600612,"24.0114-0116.1","ATE"
600620,"24.0116-0125.1","ATE"
600621,"24.0130-0181.1","ATE"
600622,"24.0124-0215.1","ATE"
600701,"24.0124-0221.1","ATE"
600703,"24.0112-0171.1","ATE"
600901,"24.0120-0184.1","ATE"
600902,"24.0128-0253.1","ATE"
600903,"24.0128-0185.1","ATE"
600904,"24.0110-0323.1","ATE"
600905,"24.0120-0173.1","ATE"
600906,"24.0122-0241.1","ATE"
600907,"24.0122-0252.1","ATE"
601001,"24.0113-0194.1","ATE"
601003,"24.0128-0154.1","ATE"
601004,"24.0125-0199.1","ATE"
601005,"24.0123-0113.1","ATE"
601006,"24.0125-0197.1","ATE"
601011,"24.0128-0157.1","ATE"
601012,"24.0116-0116.2","ATE"
601013,"24.0116-0126.1","ATE"
601014,"24.0128-0156.1 ","ATE"
601020,"24.0115-0108.1","ATE"
601040,"24.0311-0145.1","ATE"
601050,"24.0128-0162.1","ATE"
601201,"24.0125-0174.1","ATE"
601202,"24.0110-0321.1","ATE"
601203,"24.0132-0172.1","ATE"
601204,"24.0121-0113.1","ATE"
601210,"24.0109-0161.1","ATE"
601211,"24.0125-0173.1","ATE"
601213,"24.0109-0158.1","ATE"
601214,"24.0123-0109.1","ATE"
601215,"24.0109-0111.1","ATE"
601302,"24.0128-0256.1","ATE"
601310,"24.0110-0312.1","ATE"
601311,"24.0119-0115.1","ATE"
601312,"24.0119-0116.1","ATE"
601313,"24.0110-0318.1","ATE"
601320,"24.0122-0260.1","ATE"
601321,"24.0126-0171.1","ATE"
601322,"24.0118-0151.1","ATE"
601323,"24.0128-0234.1","ATE"
601324,"24.0110-0286.1","ATE"
601325,"24.0126-0126.1","ATE"
601326,"24.0111-0146.1","ATE"
601327,"24.0128-0158.1","ATE"
601502,"24.0119-0107.1","ATE"
601503,"24.0122-0160.1","ATE"
601506,"24.0119-0108.1","ATE"
601515,"24.0122-0103.1","ATE"
601520,"24.0110-0117.1","ATE"
601525,"24.0122-0159.1","ATE"
601530,"24.0112-0124.1","ATE"
601535,"24.0122-0115.1","ATE"
601537,"24.0110-0227.1","ATE"
601539,"24.0120-0154.1","ATE"
601540,"24.0112-0126.1","ATE"
601550,"24.0130-0101.1","ATE"
601555,"24.0113-0167.1","ATE"
601590,"24.0110-0202.1","ATE"
601701,"24.0120-0202.1","ATE"
601702,"24.0128-0200.1","ATE"
601920,"24.0109-0122.1","ATE"
601923,"24.0120-0155.1","ATE"
601925,"24.0122-0194.1","ATE"
601929,"24.0128-0216.1","ATE"
601930,"24.0114-0112.1","ATE"
601933,"24.0128-0136.1","ATE"
601939,"24.0109-0150.2","ATE"
601940,"24.0113-0184.1","ATE"
601945,"24.0113-0185.1","ATE"
601950,"24.0126-0120.1","ATE"
602001,"24.0130-0178.1","ATE"
602201,"24.0124-0175.1","ATE"
602202,"24.0110-0234.1","ATE"
602205,"24.0122-0179.1","ATE"
602207,"24.0111-0164.1","ATE"
602208,"24.0111-0160.1","ATE"
602209,"24.0125-0170.1","ATE"
602220,"24.0118-0107.1","ATE"
602221,"24.0125-0188.1","ATE"
602230,"24.0112-0137.1","ATE"
602240,"24.0122-0146.1","ATE"
602260,"24.0118-0117.1","ATE"
602270,"24.0107-0108.1","ATE"
602280,"24.0122-0216.1","ATE"
602285,"24.0118-0139.1","ATE"
602290,"24.0120-0203.1","ATE"
602301,"24.0128-0142.1","ATE"
602302,"24.0128-0176.1","ATE"
602303,"24.0122-0201.1","ATE"
602305,"24.1112-0149.1","ATE"
602307,"24.0122-0232.1","ATE"
602310,"24.0111-0130.1","ATE"
602312,"24.0128-0202.1","ATE"
602313,"24.0116-0121.1","ATE"
602314,"24.0112-0122.1","ATE"
602315,"24.0114-0114.1","ATE"
602316,"24.0132-0158.1","ATE"
602320,"24.0122-0197.1","ATE"
602321,"24.0110-0190.1","ATE"
602324,"24.0124-0212.1","ATE"
602327,"24.0122-0107.1","ATE"
602331,"24.0120-0193.1","ATE"
602347,"24.0122-0262.1","ATE"
602348,"24.0122-0231.1","ATE"
602350,"24.0112-0127.1","ATE"
602360,"24.0112-0144.1","ATE"
602361,"24.0112-0167.1","ATE"
602362,"24.0108-0111.1","ATE"
602363,"24.0125-0167.1","ATE"
602364,"24.0108-0113.1","ATE"
602365,"24.0111-0153.1","ATE"
602366,"24.0128-0125.1","ATE"
602367,"24.0122-0199.1","ATE"
602370,"24.0128-0177.1","ATE"
602371,"24.0128-0188.1","ATE"
602372,"24.0109-0154.1","ATE"
602373,"24.0125-0179.1","ATE"
602374,"24.0128-0100.1","ATE"
602375,"24.0110-0328.1","ATE"
602376,"24.0120-0208.1","ATE"
602377,"24.0132-0101.1","ATE"
602378,"24.0128-0155.1","ATE"
602379,"24.0124-0222.1","ATE"
602380,"24.0132-0144.1","ATE"
602381,"24.0132-0115.1","ATE"
602382,"24.0112-0183.1","ATE"
602383,"24.0132-0137.1","ATE"
602401,"24.0122-0248.1","ATE"
602402,"24.0122-0204.1","ATE"
602410,"24.0110-0271.1","ATE"
602503,"24.0124-0161.1","ATE"
602504,"24.0112-0154.1","ATE"
602505,"24.0110-0115.1","ATE"
602506,"24.0124-0179.1","ATE"
602511,"24.0118-0146.1","ATE"
602512,"24.0110-0304.1","ATE"
602513,"24.0124-0192.1","ATE"
602514,"24.0110-0240.1","ATE"
602516,"24.0126-0131.1","ATE"
602517,"24.0124-0140.1","ATE"
602518,"24.0110-0345.1","ATE"
602519,"24.0126-0164.1","ATE"
602520,"24.0124-0112.1","ATE"
602521,"24.0122-0724.1","ATE"
602525,"24.0114-0100.1","ATE"
602526,"24.0110-0704.1","ATE"
602535,"24.0114-0103.1","ATE"
602540,"24.0124-0121.1","ATE"
602541,"24.0110-0213.1","ATE"
602544,"24.0124-0168.1","ATE"
602545,"24.0110-0196.1","ATE"
602546,"24.0110-0223.1","ATE"
602550,"24.0120-0147.1","ATE"
602554,"24.0124-0167.1","ATE"
602560,"24.0124-0131.1","ATE"
602564,"24.0125-0114.1","ATE"
602565,"24.0124-0132.1","ATE"
602575,"24.0124-0120.1","ATE"
602580,"24.0120-0146.1","ATE"
602585,"24.0112-0141.1","ATE"
602590,"24.0122-0172.1","ATE"
602595,"24.0124-0131.1","ATE"
602601,"24.0128-0140.1","ATE"
602603,"24.0110-0215.1","ATE"
602615,"24.0121-0105.1","ATE"
602620,"24.0126-0154.1","ATE"
602621,"24.0124-0238.1","ATE"
602622,"24.0109-0157.1","ATE"
602623,"24.0128-0241.1","ATE"
602624,"24.0116-0119.1","ATE"
602625,"24.0128-0242.1","ATE"
602635,"24.0121-0104.1","ATE"
602640,"24.0110-0212.1","ATE"
602670,"24.0110-0326.1","ATE"
602702,"24.0110-0291.1","ATE"
602703,"24.0128-0137.1","ATE"
602705,"24.0126-0146.1","ATE"
602716,"24.0130-0207.1","ATE"
602718,"24.0129-0101.1","ATE"
602719,"24.0130-0208.1","ATE"
602726,"24.0112-0187.1","ATE"
602801,"24.0109-0171.2","ATE"
602803,"24.0112-0194.2","ATE"
602804,"24.0110-0330.1","ATE"
602805,"24.0126-0170.1","ATE"
603001,"24.0112-0160.1","ATE"
603010,"24.0124-0136.1","ATE"
603012,"24.0128-0245.1","ATE"
603013,"24.0122-0289.1","ATE"
603015,"24.0108-0112.1","ATE"
603016,"24.0110-0325.2","ATE"
603020,"24.0128-0182","ATE"
603022,"24.0108-0116.2","ATE"
603031,"24.0128-0133.1","ATE"
603032,"24.0111-0148.2","ATE"
603033,"24.0126-0158.1","ATE"
603035,"24.0128-0134.1","ATE"
603040,"24.0111-0174.2","ATE"
603041,"24.0108-0118.2","ATE"
603042,"24.0111-0180.2","ATE"
603205,"24.0122-0207.1","ATE"
603207,"24.0125-0165.1","ATE"
603240,"24.0124-0129.1","ATE"
603265,"24.0125-0147.1","ATE"
603270,"24.0110-0234.1","ATE"
603275,"24.0110-0302.1","ATE"
603301,"24.0122-0281.1","ATE"
603307,"24.0112-0129.1","ATE"
603310,"24.0113-0137.1","ATE"
603316,"24.0128-0145.1","ATE"
603317,"24.0110-0280.1","ATE"
603320,"24.0109-0120.1","ATE"
603325,"24.0112-0117.1","ATE"
603330,"24.0110-0228.1","ATE"
603335,"24.0122-0162.1","ATE"
603340,"24.0122-0161.1","ATE"
603341,"24.0128-0106.1","ATE"
603342,"24.0110-0217.1","ATE"
603343,"24.0128-0203.1","ATE"
603344,"24.0122-0196.1","ATE"
603345,"24.0109-0114.1","ATE"
603346,"24.0122-0168.1","ATE"
603350,"24.0116-0100.1","ATE"
603355,"24.0112-0128.1","ATE"
603360,"24.0109-0120.1","ATE"
603368,"24.0112-0142.1","ATE"
603370,"24.0112-0117.1","ATE"
603375,"24.0116-0110.1","ATE"
603390,"24.0122-0132.1","ATE"
603395,"24.0125-0110.1","ATE"
603410,"24.0119-0109.1","ATE"
603515,"24.0110-0308.1","ATE"
603520,"24.0109-0136.1","ATE"
603542,"24.0122-0260.1","ATE"
603544,"24.0118-0145.1","ATE"
603545,"24.0110-0324.1","ATE"
603601,"24.0117-0103.1","ATE"
603602,"24.0124-0196.1","ATE"
603603,"24.0124-0145.1","ATE"
603610,"24.0113-0161.1","ATE"
603612,"24.0125-0141.1","ATE"
603613,"24.0117-0106.1","ATE"
603614,"24.0128-0164.1","ATE"
603615,"24.0120-0115.1","ATE"
603617,"24.0124-0166.1","ATE"
603624,"24.0110-0226.1","ATE"
603625,"24.0124-0115.1","ATE"
603630,"24.0120-0140.1","ATE"
603631,"24.0110-0250.1","ATE"
603633,"24.0110-0251.1","ATE"
603639,"24.0128-0132.1","ATE"
603640,"24.0110-0144.1","ATE"
603641,"24.0111-0152.1","ATE"
603642,"24.0112-0153.1","ATE"
603643,"24.0112-0155.1","ATE"
603644,"24.0128-0129.1","ATE"
603646,"24.0112-0157.1","ATE"
603648,"24.0112-0177.2","ATE"
603650,"24.0110-0205.1","ATE"
603652,"24.0125-0148.1","ATE"
603655,"24.0112-0131.1","ATE"
603660,"24.0128-0104.1","ATE"
603665,"24.0110-0225.1","ATE"
603670,"24.0125-0119.1","ATE"
603675,"24.0124-0152.1","ATE"
603680,"24.0120-0174.1","ATE"
603690,"24.0124-0119.1","ATE"
603695,"24.0125-0131.1","ATE"
603696,"24.0325-0142.1","ATE"
603701,"24.0125-0190.1","ATE"
603710,"24.0110-0230.1","ATE"
603720,"24.0124-0138.1","ATE"
603740,"24.0126-0106.1","ATE"
603750,"24.0124-0139.1","ATE"
603755,"24.0126-0121.1","ATE"
603770,"24.0109-0137.1","ATE"
603905,"24.0122-0148.1","ATE"
603906,"24.0125-0143.1","ATE"
603907,"24.0109-0152.1","ATE"
603908,"24.0126-0138.1","ATE"
603909,"24.0126-0138.1","ATE"
603910,"24.0108-0104.1","ATE"
603911,"24.0128-0159.1","ATE"
603912,"24.0126-0156.1","ATE"
603913,"24.0126-0148.1","ATE"
603914,"24.0124-0171.1","ATE"
603915,"24.0110-0219.1","ATE"
603919,"24.0128-0194.1","ATE"
603920,"24.0112-0116.1","ATE"
603921,"24.0124-0169.1","ATE"
603922,"24.0111-0101.2","ATE"
603923,"24.0126-0123.1","ATE"
603925,"24.0124-0158.1","ATE"
603926,"24.0111-0166.2","ATE"
603929,"24.0124-0191.1","ATE"
603930,"24.0120-0125.1","ATE"
603931,"24.0110-0337.1","ATE"
603932,"24.0109-0155.1","ATE"
603933,"24.0122-0256.1","ATE"
603934,"24.0110-0311.1","ATE"
603935,"24.0110-0333.1","ATE"
603936,"24.0126-0160.1","ATE"
603937,"24.0112-0714.1","ATE"
603938,"24.0125-0178.1","ATE"
603939,"24.0111-0168.1","ATE"
603940,"24.0121-0106.1","ATE"
603950,"24.0124-0162.1","ATE"
603960,"24.0110-0284.1","ATE"
603961,"24.0128-0115.1","ATE"
603962,"24.0109-0139.1","ATE"
603963,"24.0125-0157.1","ATE"
603964,"24.0109-0140.1","ATE"
603965,"24.0122-0258.1","ATE"
603966,"24.0122-0246.1","ATE"
603967,"24.0122-0254.1","ATE"
603968,"24.0122-0240.1","ATE"
603969,"24.0109-0142.1","ATE"
603970,"24.0120-0175.1","ATE"
604101,"24.0112-0151.1","ATE"
604102,"24.0128-0123.1","ATE"
604103,"24.0126-0122.1","ATE"
604104,"24.0128-0144.1","ATE"
604105,"24.0111-0147.1","ATE"
604107,"24.0112-0180.1","ATE"
604108,"24.0120-0122.1","ATE"
604110,"24.0128-0184.1","ATE"
604111,"24.0130-0116.1","ATE"
604201,"24.0122-0215.1","ATE"
604230,"24.0132-0117.1","ATE"
604231,"24.0132-0118.1","ATE"
604240,"24.0132-0116.1","ATE"
604305,"24.0113-0182.1","ATE"
604510,"24.0118-0110.1","ATE"
604522,"24.0120-0180.1","ATE"
604530,"24.0125-0124.1","ATE"
604550,"24.0122-0158.1","ATE"
604565,"24.0125-0140.1","ATE"
604570,"24.0118-0131.1","ATE"
604582,"24.0125-0155.1","ATE"
604584,"24.0109-0138.1","ATE"
604590,"24.0126-0139.1","ATE"
604595,"24.0125-0156.1","ATE"
604709,"24.0122-0101.1","ATE"
604710,"24.0122-0118.1","ATE"
604715,"24.0110-0178.1","ATE"
604720,"24.0120-0123.1","ATE"
604725,"24.0125-0105.1","ATE"
604730,"24.0110-0201.1","ATE"
604731,"24.0118-0137.1","ATE"
604732,"24.0122-0139.1","ATE"
604733,"24.0124-0118.1","ATE"
604735,"24.0118-0106.1","ATE"
604737,"24.0113-0166.1","ATE"
604740,"24.0109-0123.1","ATE"
604741,"24.0113-0179.1","ATE"
604743,"24.0130-0175.1","ATE"
604745,"24.0125-0115.1","ATE"
604746,"24.0118-0105.1","ATE"
604752,"24.0113-0181.1","ATE"
604753,"24.0125-0113.1","ATE"
604755,"24.0122-0100.1","ATE"
604757,"24.0110-0210.1","ATE"
604758,"24.0122-0151.1","ATE"
604760,"24.0122-0152.1","ATE"
604765,"24.0122-0150.1","ATE"
604767,"24.0112-0138.1","ATE"
604768,"24.0124-0128.1","ATE"
604770,"24.0110-0224.1","ATE"
604772,"24.0126-0115.1","ATE"
604773,"24.0125-0137.1","ATE"
604778,"24.0110-0261.1","ATE"
604780,"24.0113-0178.1","ATE"
604782,"24.0112-0148.1","ATE"
604785,"24.0116-0108.1","ATE"
604787,"24.0122-0210.1","ATE"
604788,"24.0125-0145.1","ATE"
604789,"24.0110-0277.1","ATE"
604794,"24.0112-0158.1","ATE"
604796,"24.0130-0114.1","ATE"
604797,"24.0122-0211.1","ATE"
604815,"24.0124-0159.1","ATE"
604840,"24.0110-0229.1","ATE"
604848,"24.0125-0117.1","ATE"
604849,"24.0125-0162.1","ATE"
604895,"24.0111-0158.1","ATE"
604896,"24.0111-0155.1","ATE"
605005,"24.0110-0282.1","ATE"
605008,"24.0120-0115.1","ATE"
605009,"24.0124-0199.1","ATE"
605015,"24.0124-0163.1","ATE"
605020,"24.0110-0714.1","ATE"
605025,"24.0113-0195.1","ATE"
605035,"24.0110-0136.1","ATE"
605220,"24.0117-0109.1","ATE"
609320,"24.0124-0193.1","ATE"
609910,"24.0110-0187.1","ATE"
609915,"24.0120-0133.1","ATE"
609920,"24.0108-0107.1","ATE"
609922,"24.0122-0145.1","ATE"
609923,"24.0122-0147.1","ATE"
609925,"24.0120-0132.1","ATE"
609926,"24.0110-0209.1","ATE"
609930,"24.0111-0119.1","ATE"
609935,"24.0110-0111.1","ATE"
609940,"24.0120-0128.1","ATE"
609942,"24.0126-0104.1","ATE"
609950,"24.0112-0106.1","ATE"
609955,"24.0120-0142.1","ATE"
609965,"24.0118-0108.1","ATE"
609980,"24.0124-0127.1","ATE"
609981,"24.0128-0213.1","ATE"
609982,"24.0116-0124.1","ATE"
609990,"24.0108-0106.1","ATE"
